gde_nr,gde_name,Kanton,Anb_1_change_in_prozent,Anb_1_differenz,Anb_1_entwicklung,Anb_1_gruppen,Anb_1_Name,Anb_1_preis_2018,Anb_1_preis_2019,Anb_1_preis_2020,Anb_1_preis_2021,Anb_1_preis_2022,Anb_1_preis_2023,Anb_1_preis_pro_2022,Anb_1_preis_pro_2023,Anb_1_rang,Anb_1_rang_preis_pro_2023,Anb_1_verbrauch,Anb_2_change_in_prozent,Anb_2_differenz,Anb_2_entwicklung,Anb_2_gruppen,Anb_2_Name,Anb_2_preis_2018,Anb_2_preis_2019,Anb_2_preis_2020,Anb_2_preis_2021,Anb_2_preis_2022,Anb_2_preis_2023,Anb_2_preis_pro_2022,Anb_2_preis_pro_2023,Anb_2_rang,Anb_2_rang_preis_pro_2023,Anb_2_verbrauch,Anb_3_change_in_prozent,Anb_3_differenz,Anb_3_entwicklung,Anb_3_gruppen,Anb_3_Name,Anb_3_preis_2018,Anb_3_preis_2019,Anb_3_preis_2020,Anb_3_preis_2021,Anb_3_preis_2022,Anb_3_preis_2023,Anb_3_preis_pro_2022,Anb_3_preis_pro_2023,Anb_3_rang,Anb_3_rang_preis_pro_2023,Anb_3_verbrauch,change_in_perc_schnitt,anzahl_anbieter
3232,Balgach,SG,7.14,90,15.512,1,Politische Gemeinde Balgach,16,15,15,24,28,30,1260,1350,1895,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,1
3233,Berneck,SG,58.82,450,18.382,5,Politische Gemeinde Berneck,15,23,19,24,17,27,765,1215,169,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.82,1
3234,Diepoldsau,SG,5,-45,-4.654,1,Elektrizitätsversorgung Diepoldsau,25,23,19,17,20,19,900,855,2018,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
3235,Rheineck,SG,0,0,-4.366,1,WERKE Rheineck,29,28,27,27,23,23,1035,1035,2196,1030,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
3236,St. Margrethen,SG,13.33,-180,0.826,2,Technische Betriebe St. Margrethen,26,27,26,24,30,26,1350,1170,1556,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,1
3237,Thal,SG,3.57,45,8.072,1,Technische Betriebe Thal,23,23,19,17,28,29,1260,1305,2153,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,1
3238,Widnau,SG,50,450,19.196,5,Elektrizitätsversorgung der Gemeinde Widnau,15,24,20,17,20,30,900,1350,235,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1
3251,Altstätten,SG,16.67,180,2.926,3,Stadt Altstätten,27,27,20,27,24,28,1080,1260,1350,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
3252,Eichberg,SG,6.25,45,-5.508,1,Elektra Eichberg,24,22,21,23,16,17,720,765,1949,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,1
3253,Marbach (SG),SG,18.18,-180,1.272,3,Elektrizitätsversorgung Marbach (SG),18,16,20,23,22,18,990,810,1292,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.18,1
3254,Oberriet (SG),SG,4.55,45,7.322,1,Elektrizitätsversorgung Oberriet (SG),19,27,19,25,22,23,990,1035,2056,1030,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,1
3255,Rebstein,SG,22.22,-270,0.232000000000001,3,Elektrizitätsversorgung Rebstein,24,19,16,20,27,21,1215,945,1078,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,1
3256,Rüthi (SG),SG,36.67,-495,-1.262,4,Elektra Rüthi,24,24,21,30,30,19,1350,855,541,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.67,1
3271,Buchs (SG),SG,30,270,1.08,4,Elektrizitäts- und Wasserwerk der Stadt Buchs,26,27,25,23,20,26,900,1170,758,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1
3272,Gams,SG,4.55,45,7.044,1,Elektra Gams,20,29,30,18,22,23,990,1035,2056,1030,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,1
3273,Grabs,SG,26.67,-360,1.832,4,Technische Betriebe Grabs,22,19,23,26,30,22,1350,990,899,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67,1
3274,Sennwald,SG,50,-675,-4.754,5,St.Gallisch-Appenzellische Kraftwerke AG SAK,29,16,22,26,30,15,1350,675,235,2201,4500,16.67,180,6.766,3,Elektrizitätswerk Sennwald,24,25,15,19,24,28,1080,1260,1350,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.335,2
3275,Sevelen,SG,33.33,-405,-4.872,4,Elektrizität- und Wasserwerk Sevelen,29,20,16,20,27,18,1215,810,612,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,1
3276,Wartau,SG,38.1,360,3.244,4,Dorfkorporation Trübbach,27,28,22,23,21,29,945,1305,486,132,4500,23.08,-270,1.754,3,Dorfkorporation Weite,21,30,25,29,26,20,1170,900,1046,1450,4500,8.33,-90,-4.714,2,Elektrizitätswerk Azmoos,29,22,23,23,24,22,1080,990,1821,1156,4500,23.17,3
3291,Bad Ragaz,SG,5.56,45,7.304,1,St.Gallisch-Appenzellische Kraftwerke AG SAK,17,30,26,19,18,19,810,855,1984,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,1
3292,Flums,SG,45,405,12.67,5,Martin Zeller AG Flums,20,26,20,28,20,29,900,1305,314,132,4500,34.48,-450,-3.01,4,Murg Flums Energie,24,25,26,27,29,19,1305,855,603,1592,4500,14.29,-135,-6.28,2,EVU Flums AG,27,20,19,24,21,18,945,810,1490,1736,4500,31.256666666666664,3
3293,Mels,SG,61.11,495,8.112,5,Elektrizitäts- & Wasserwerk Mels,28,17,24,26,18,29,810,1305,149,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.11,1
3294,Pfäfers,SG,37.04,-450,-3.722,4,St.Gallisch-Appenzellische Kraftwerke AG SAK,26,19,17,18,27,17,1215,765,529,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.04,1
3295,Quarten,SG,37.04,-450,-4.022,4,Elektrizitätswerk Quarten,29,25,15,23,27,17,1215,765,529,1893,4500,25,180,6.176,3,Murg Flums Energie,17,17,18,24,16,20,720,900,948,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.02,2
3296,Sargans,SG,16.67,-180,-1.978,3,St.Gallisch-Appenzellische Kraftwerke AG SAK,29,30,15,18,24,20,1080,900,1350,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
3297,Vilters-Wangs,SG,11.76,-90,-8.682,2,Elektrizitätswerk Vilters-Wangs,25,21,15,16,17,15,765,675,1642,2201,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,1
3298,Walenstadt,SG,4.35,-45,-3.516,1,Wasser- & Elektrizitätswerk Walenstadt,29,21,25,29,23,22,1035,990,2078,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,1
3311,Amden,SG,3.45,-45,14.37,1,St.Gallisch-Appenzellische Kraftwerke AG SAK,18,30,23,20,29,28,1305,1260,2166,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,1
3312,Benken (SG),SG,62.5,450,5.712,5,Elektrizitätsversorgung Benken SG,27,20,22,27,16,26,720,1170,135,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,1
3313,Kaltbrunn,SG,35,315,7.332,4,Elektrizitätsversorgung Kaltbrunn AG,24,30,25,15,20,27,900,1215,583,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1
3315,Schänis,SG,25,180,2.058,3,Energieversorgung Schänis AG,24,26,21,30,16,20,720,900,948,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1
3316,Weesen,SG,73.33,495,7.998,5,St.Gallisch-Appenzellische Kraftwerke AG SAK,24,26,24,26,15,26,675,1170,70,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.33,1
3338,Schmerikon,SG,18.52,-225,8.786,3,EW Schmerikon AG,17,15,18,29,27,22,1215,990,1282,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.52,1
3339,Uznach,SG,27.27,-270,-3.792,4,Elektrizitätswerk Uznach AG,25,22,25,15,22,16,990,720,869,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27,1
3340,Rapperswil-Jona,SG,17.24,-225,9.466,3,Elektrizitätswerk Jona- Rapperswil AG,19,17,28,22,29,24,1305,1080,1344,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.24,1
3341,Gommiswald,SG,23.33,-315,-2.498,3,St.Gallisch-Appenzellische Kraftwerke AG SAK,27,27,27,28,30,23,1350,1035,1040,1030,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.33,1
3342,Eschenbach (SG),SG,81.25,585,8.014,5,St.Gallisch-Appenzellische Kraftwerke AG SAK,26,25,25,24,16,29,720,1305,45,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.25,1
3352,Ebnat-Kappel,SG,30.77,-360,7.42,4,Dorfkorporation Ebnat-Kappel,19,29,17,16,26,18,1170,810,734,1736,4500,20.83,-225,-5.74,3,Elektrokorporation Blomberg-Brandholz,27,29,26,21,24,19,1080,855,1156,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.799999999999997,2
3359,Wildhaus-Alt St. Johann,SG,40,270,0.952,5,St.Gallisch-Appenzellische Kraftwerke AG SAK,23,24,25,17,15,21,675,945,426,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1
3360,Nesslau,SG,93.33,630,12.264,5,St.Gallisch-Appenzellische Kraftwerke AG SAK,24,19,24,15,15,29,675,1305,8,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.33,1
3372,Hemberg,SG,28,-315,-2.214,4,St.Gallisch-Appenzellische Kraftwerke AG SAK,23,17,18,19,25,18,1125,810,838,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1
3374,Lichtensteig,SG,3.7,-45,-2.714,1,St.Gallisch-Appenzellische Kraftwerke AG SAK,30,30,27,28,27,26,1215,1170,2131,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,1
3375,Oberhelfenschwil,SG,6.9,-90,17.628,1,St.Gallisch-Appenzellische Kraftwerke AG SAK,15,26,19,21,29,27,1305,1215,1908,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1
3378,Neckertal,SG,58.82,450,2.862,5,St.Gallisch-Appenzellische Kraftwerke AG SAK,29,26,20,23,17,27,765,1215,169,429,4500,7.69,-90,11.248,1,Elektrizitätsgenossenschaft Moos-Dieselbach,15,16,15,19,26,24,1170,1080,1853,877,4500,7.14,-90,-1.018,1,Elektrokorporation Wald-St. Peterzell,29,30,25,22,28,26,1260,1170,1895,572,4500,24.55,3
3379,Wattwil,SG,87.5,630,24.236,5,Thurwerke AG,15,23,24,29,16,30,720,1350,17,1,4500,11.54,135,6.252,2,Elektrogenossenschaft Ulisbach,22,22,20,21,26,29,1170,1305,1664,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.519999999999996,2
3392,Kirchberg (SG),SG,5.26,-45,-0.76,1,rwt Regionalwerk Toggenburg AG,22,26,17,23,19,18,855,810,2000,1736,4500,0,0,4.564,1,Genossenschaft Energie Fischingen,27,15,25,27,25,25,1125,1125,2196,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,2
3393,Lütisburg,SG,39.29,-495,-6.362,5,rwt Regionalwerk Toggenburg AG,27,23,28,26,28,17,1260,765,459,1893,4500,20.83,-225,4.806,3,Elektrizitätsgenossenschaft Moos-Dieselbach,18,17,17,28,24,19,1080,855,1156,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.06,2
3394,Mosnang,SG,18.18,180,6.23,3,Dorfkorporation Mosnang,22,26,26,17,22,26,990,1170,1292,572,4500,15.38,-180,9.24,2,St.Gallisch-Appenzellische Kraftwerke AG SAK,17,15,25,30,26,22,1170,990,1445,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.78,2
3395,Bütschwil-Ganterschwil,SG,33.33,-405,6.334,4,rwt Regionalwerk Toggenburg AG,16,20,18,18,27,18,1215,810,612,1736,4500,5.26,-45,2.448,1,St.Gallisch-Appenzellische Kraftwerke AG SAK,24,24,16,30,19,18,855,810,2000,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.294999999999998,2
3401,Degersheim,SG,50,-675,-6.866,5,Elektrizitätsgenossenschaft Moos-Dieselbach,29,26,21,20,30,15,1350,675,235,2201,4500,25,225,8.408,3,St.Gallisch-Appenzellische Kraftwerke AG SAK,20,17,27,26,20,25,900,1125,948,717,4500,20,135,-7.424,3,Technische Betriebe Flawil,30,29,29,25,15,18,675,810,1187,1736,4500,31.666666666666668,3
3402,Flawil,SG,22.22,180,-0.890000000000001,3,Technische Betriebe Flawil,30,15,15,20,18,22,810,990,1078,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,1
3405,Jonschwil,SG,17.39,-180,0.606,3,Dorfkorporation Schwarzenbach,22,16,24,27,23,19,1035,855,1330,1592,4500,14.29,-180,3.566,2,St.Gallisch-Appenzellische Kraftwerke AG SAK,28,22,21,15,28,24,1260,1080,1490,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.84,2
3407,Oberuzwil,SG,9.09,-90,4.778,2,St.Gallisch-Appenzellische Kraftwerke AG SAK,19,24,20,30,22,20,990,900,1784,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.09,1
3408,Uzwil,SG,11.11,135,8.548,2,St.Gallisch-Appenzellische Kraftwerke AG SAK,30,17,21,15,27,30,1215,1350,1677,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,1
3422,Niederbüren,SG,14.29,135,-1.964,2,Technische Gemeindebetriebe Bischofszell,27,25,23,21,21,24,945,1080,1490,877,4500,9.52,90,12.142,2,Elektra Niederbüren,15,20,21,30,21,23,945,1035,1769,1030,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.905,2
3423,Niederhelfenschwil,SG,30,-405,-3.13,4,Elektrizitätswerk Niederhelfenschwil,29,20,26,30,30,21,1350,945,758,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1
3424,Oberbüren,SG,3.45,45,4.274,1,Elektrizitätsversorgung Oberbüren,27,29,21,29,29,30,1305,1350,2166,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,1
3426,Zuzwil (SG),SG,81.25,585,15.738,5,Elektrizitätswerk Zuzwil (SG),20,17,26,17,16,29,720,1305,45,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.25,1
3427,Wil (SG),SG,57.89,495,16.86,5,Technische Betriebe Wil,17,27,25,20,19,30,855,1350,184,1,4500,8.33,90,7.168,2,Dorfkorporation Bronschhofen,23,25,16,26,24,26,1080,1170,1821,572,4500,5.88,45,0.352000000000001,1,Elektra Maugwil-Uerental-Boxloo-Weid,23,18,30,21,17,18,765,810,1966,1736,4500,24.033333333333335,3
3441,Andwil (SG),SG,21.43,-270,10.884,3,Elektra Andwil,15,17,27,27,28,22,1260,990,1126,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.43,1
3442,Gaiserwald,SG,36.36,360,14.236,4,Politische Gemeinde Gaiserwald,19,17,24,16,22,30,990,1350,547,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36,1
3443,Gossau (SG),SG,31.03,-405,-0.0880000000000003,4,Elektra Niederbüren,27,29,29,18,29,20,1305,900,726,1450,4500,29.63,-360,0.406,4,Stadtwerke Gossau,23,17,26,24,27,19,1215,855,783,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.33,2
3444,Waldkirch,SG,46.43,-585,8.66,5,Technische Betriebe Waldkirch,16,17,29,19,28,15,1260,675,307,2201,4500,7.14,-90,-1.762,1,Politische Gemeinde Gaiserwald,29,28,29,25,28,26,1260,1170,1895,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.785,2
3506,Vaz/Obervaz,GR,7.69,90,12.536,2,Elektrizitätswerk Vaz/Obervaz,17,17,26,30,26,28,1170,1260,1853,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,1
3513,Lantsch/Lenz,GR,4.17,45,0.107999999999999,1,Energieversorgung der Gemeinde Lantsch/Lenz,30,21,26,18,24,25,1080,1125,2094,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,1
3514,Schmitten (GR),GR,55.56,450,14.19,5,Wasser-/ Elektrizitätswerk der Gemeinde Schmitten,17,24,20,17,18,28,810,1260,207,275,4500,27.27,270,13.88,4,Albula Netz AG (ANAG),21,22,15,29,22,28,990,1260,869,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.415,2
3542,Albula/Alvra,GR,42.31,-495,4.332,5,Albula Netz AG (ANAG),16,19,15,17,26,15,1170,675,374,2201,4500,20,-270,2.74,3,Elektrizitätsversorgung der Gemeinde Albula/Alvra,23,25,20,25,30,24,1350,1080,1187,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.155,2
3543,Surses,GR,80,540,17.42,5,EW Surses,17,25,29,22,15,27,675,1215,54,429,4500,68.75,495,4.338,5,Elektrizitätswerk Bivio,29,23,20,24,16,27,720,1215,96,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.375,2
3544,Bergün Filisur,GR,57.89,495,12.528,5,Elektrizitätswerk Bergün Filisur,21,26,30,18,19,30,855,1350,184,1,4500,3.45,-45,0.18,1,Albula Netz AG (ANAG),30,29,22,22,29,28,1305,1260,2166,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.67,2
3551,Brusio,GR,3.85,-45,17.23,1,Azienda Elettrica Comunale Brusio,18,30,15,15,26,25,1170,1125,2120,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,1
3561,Poschiavo,GR,30.43,-315,3.752,4,Impresa Elettrica Comunale Poschiavo,15,19,18,18,23,16,1035,720,740,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.43,1
3572,Falera,GR,0,0,-7.418,1,Repower AG,29,25,23,25,19,19,855,855,2196,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
3575,Laax,GR,9.09,90,-1.034,2,Repower AG,30,20,27,20,22,24,990,1080,1784,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.09,1
3581,Sagogn,GR,16.67,-180,-0.764,3,Repower AG,28,25,27,15,24,20,1080,900,1350,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
3582,Schluein,GR,9.09,-90,9.194,2,Repower AG,16,29,26,25,22,20,990,900,1784,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.09,1
3603,Vals,GR,37.04,-450,-0.789999999999999,4,EW Vals,20,24,27,25,27,17,1215,765,529,1893,4500,0,0,4.33,1,Kraftwerke Zervreila AG,22,25,24,17,24,24,1080,1080,2196,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.52,2
